theta,xsec
0.000,0.2650
0.5000,0.2650
1.000,0.2652
1.500,0.2654
2.000,0.2658
2.500,0.2663
3.000,0.2670
3.500,0.2680
4.000,0.2692
4.500,0.2708
5.000,0.2728
5.500,0.2753
6.000,0.2783
6.500,0.2820
7.000,0.2863
7.500,0.2913
8.000,0.2972
8.500,0.3039
9.000,0.3116
9.500,0.3202
10.00,0.3299
10.50,0.3406
11.00,0.3524
11.50,0.3653
12.00,0.3794
12.50,0.3945
13.00,0.4108
13.50,0.4282
14.00,0.4466
14.50,0.4661
15.00,0.4865
15.50,0.5078
16.00,0.5300
16.50,0.5529
17.00,0.5765
17.50,0.6007
18.00,0.6253
18.50,0.6504
19.00,0.6756
19.50,0.7011
20.00,0.7265
20.50,0.7518
21.00,0.7769
21.50,0.8017
22.00,0.8260
22.50,0.8497
23.00,0.8727
23.50,0.8949
24.00,0.9161
24.50,0.9363
25.00,0.9553
25.50,0.9732
26.00,0.9897
26.50,1.005
27.00,1.018
27.50,1.031
28.00,1.041
28.50,1.050
29.00,1.057
29.50,1.063
30.00,1.067
30.50,1.069
31.00,1.070
31.50,1.068
32.00,1.065
32.50,1.061
33.00,1.055
33.50,1.047
34.00,1.038
34.50,1.027
35.00,1.015
35.50,1.001
36.00,0.9862
36.50,0.9701
37.00,0.9529
37.50,0.9346
38.00,0.9154
38.50,0.8953
39.00,0.8743
39.50,0.8527
40.00,0.8304
40.50,0.8076
41.00,0.7843
41.50,0.7606
42.00,0.7367
42.50,0.7126
43.00,0.6884
43.50,0.6641
44.00,0.6399
44.50,0.6158
45.00,0.5919
45.50,0.5683
46.00,0.5449
46.50,0.5220
47.00,0.4995
47.50,0.4775
48.00,0.4560
48.50,0.4352
49.00,0.4149
49.50,0.3953
50.00,0.3765
50.50,0.3583
51.00,0.3409
51.50,0.3242
52.00,0.3084
52.50,0.2933
53.00,0.2791
53.50,0.2656
54.00,0.2530
54.50,0.2412
55.00,0.2301
55.50,0.2199
56.00,0.2105
56.50,0.2019
57.00,0.1940
57.50,0.1868
58.00,0.1804
58.50,0.1747
59.00,0.1697
59.50,0.1654
60.00,0.1616
60.50,0.1585
61.00,0.1560
61.50,0.1540
62.00,0.1526
62.50,0.1516
63.00,0.1511
63.50,0.1511
64.00,0.1515
64.50,0.1522
65.00,0.1533
65.50,0.1547
66.00,0.1564
66.50,0.1584
67.00,0.1606
67.50,0.1631
68.00,0.1657
68.50,0.1684
69.00,0.1714
69.50,0.1744
70.00,0.1775
70.50,0.1807
71.00,0.1839
71.50,0.1872
72.00,0.1904
72.50,0.1937
73.00,0.1969
73.50,0.2001
74.00,0.2032
74.50,0.2063
75.00,0.2093
75.50,0.2122
76.00,0.2149
76.50,0.2176
77.00,0.2202
77.50,0.2226
78.00,0.2249
78.50,0.2270
79.00,0.2290
79.50,0.2309
80.00,0.2326
80.50,0.2341
81.00,0.2355
81.50,0.2367
82.00,0.2377
82.50,0.2386
83.00,0.2393
83.50,0.2399
84.00,0.2403
84.50,0.2405
85.00,0.2406
85.50,0.2405
86.00,0.2403
86.50,0.2399
87.00,0.2394
87.50,0.2388
88.00,0.2380
88.50,0.2370
89.00,0.2360
89.50,0.2348
90.00,0.2335
90.50,0.2321
91.00,0.2306
91.50,0.2289
92.00,0.2272
92.50,0.2254
93.00,0.2235
93.50,0.2215
94.00,0.2194
94.50,0.2173
95.00,0.2151
95.50,0.2128
96.00,0.2105
96.50,0.2082
97.00,0.2057
97.50,0.2033
98.00,0.2008
98.50,0.1983
99.00,0.1957
99.50,0.1932
100.0,0.1906
100.5,0.1880
101.0,0.1854
