theta,xsec
101.5,0.1828
102.0,0.1803
102.5,0.1777
103.0,0.1751
103.5,0.1726
104.0,0.1700
104.5,0.1675
105.0,0.1651
105.5,0.1626
106.0,0.1602
106.5,0.1579
107.0,0.1556
107.5,0.1533
108.0,0.1511
108.5,0.1489
109.0,0.1468
109.5,0.1448
110.0,0.1428
110.5,0.1409
111.0,0.1390
111.5,0.1372
112.0,0.1355
112.5,0.1338
113.0,0.1323
113.5,0.1307
114.0,0.1293
114.5,0.1280
115.0,0.1267
115.5,0.1255
116.0,0.1244
116.5,0.1233
117.0,0.1224
117.5,0.1215
118.0,0.1207
118.5,0.1199
119.0,0.1193
119.5,0.1187
120.0,0.1182
120.5,0.1178
121.0,0.1174
121.5,0.1171
122.0,0.1169
122.5,0.1168
123.0,0.1167
123.5,0.1167
124.0,0.1167
124.5,0.1168
125.0,0.1170
125.5,0.1172
126.0,0.1175
126.5,0.1178
127.0,0.1182
127.5,0.1186
128.0,0.1191
128.5,0.1196
129.0,0.1201
129.5,0.1207
130.0,0.1213
130.5,0.1219
131.0,0.1226
131.5,0.1233
132.0,0.1239
132.5,0.1247
133.0,0.1254
133.5,0.1261
134.0,0.1268
134.5,0.1276
135.0,0.1283
135.5,0.1290
136.0,0.1298
136.5,0.1305
137.0,0.1312
137.5,0.1319
138.0,0.1326
138.5,0.1332
139.0,0.1339
139.5,0.1345
140.0,0.1351
140.5,0.1356
141.0,0.1362
141.5,0.1367
142.0,0.1372
142.5,0.1376
143.0,0.1380
143.5,0.1384
144.0,0.1387
144.5,0.1390
145.0,0.1393
145.5,0.1395
146.0,0.1397
146.5,0.1399
147.0,0.1400
147.5,0.1400
148.0,0.1401
148.5,0.1401
149.0,0.1400
149.5,0.1399
150.0,0.1398
150.5,0.1397
151.0,0.1395
151.5,0.1393
152.0,0.1390
152.5,0.1387
153.0,0.1384
153.5,0.1380
154.0,0.1377
154.5,0.1373
155.0,0.1368
155.5,0.1364
156.0,0.1359
156.5,0.1354
157.0,0.1349
157.5,0.1343
158.0,0.1338
158.5,0.1332
159.0,0.1326
159.5,0.1320
160.0,0.1314
160.5,0.1308
161.0,0.1302
161.5,0.1296
162.0,0.1289
162.5,0.1283
163.0,0.1277
163.5,0.1270
164.0,0.1264
164.5,0.1258
165.0,0.1252
165.5,0.1246
166.0,0.1240
166.5,0.1234
167.0,0.1228
167.5,0.1222
168.0,0.1217
168.5,0.1211
169.0,0.1206
169.5,0.1201
170.0,0.1196
170.5,0.1191
171.0,0.1187
171.5,0.1183
172.0,0.1178
172.5,0.1175
173.0,0.1171
173.5,0.1167
174.0,0.1164
174.5,0.1161
175.0,0.1159
175.5,0.1156
176.0,0.1154
176.5,0.1152
177.0,0.1150
177.5,0.1149
178.0,0.1147
178.5,0.1146
179.0,0.1146
179.5,0.1145
180.0,0.1145
