theta,xsec
0.000,2.376
0.5000,2.375
1.000,2.370
1.500,2.363
2.000,2.353
2.500,2.340
3.000,2.324
3.500,2.305
4.000,2.284
4.500,2.260
5.000,2.234
5.500,2.206
6.000,2.175
6.500,2.143
7.000,2.108
7.500,2.072
8.000,2.035
8.500,1.996
9.000,1.956
9.500,1.914
10.00,1.872
10.50,1.830
11.00,1.786
11.50,1.743
12.00,1.699
12.50,1.655
13.00,1.611
13.50,1.567
14.00,1.524
14.50,1.481
15.00,1.439
15.50,1.397
16.00,1.357
16.50,1.317
17.00,1.278
17.50,1.240
18.00,1.203
18.50,1.167
19.00,1.133
19.50,1.100
20.00,1.068
20.50,1.037
21.00,1.007
21.50,0.9790
22.00,0.9521
22.50,0.9263
23.00,0.9018
23.50,0.8786
24.00,0.8564
24.50,0.8355
25.00,0.8156
25.50,0.7968
26.00,0.7790
26.50,0.7621
27.00,0.7462
27.50,0.7311
28.00,0.7169
28.50,0.7034
29.00,0.6906
29.50,0.6785
30.00,0.6669
30.50,0.6559
31.00,0.6454
31.50,0.6353
32.00,0.6256
32.50,0.6163
33.00,0.6073
33.50,0.5985
34.00,0.5899
34.50,0.5816
35.00,0.5733
35.50,0.5652
36.00,0.5572
36.50,0.5493
37.00,0.5414
37.50,0.5335
38.00,0.5256
38.50,0.5177
39.00,0.5097
39.50,0.5017
40.00,0.4937
40.50,0.4856
41.00,0.4774
41.50,0.4692
42.00,0.4608
42.50,0.4525
43.00,0.4440
43.50,0.4355
44.00,0.4270
44.50,0.4184
45.00,0.4097
45.50,0.4011
46.00,0.3924
46.50,0.3837
47.00,0.3750
47.50,0.3663
48.00,0.3576
48.50,0.3489
49.00,0.3404
49.50,0.3318
50.00,0.3234
50.50,0.3150
51.00,0.3067
51.50,0.2985
52.00,0.2904
52.50,0.2825
53.00,0.2747
53.50,0.2671
54.00,0.2596
54.50,0.2523
55.00,0.2451
55.50,0.2381
56.00,0.2314
56.50,0.2248
57.00,0.2184
57.50,0.2122
58.00,0.2062
58.50,0.2005
59.00,0.1949
59.50,0.1896
60.00,0.1845
60.50,0.1796
61.00,0.1749
61.50,0.1705
62.00,0.1662
62.50,0.1622
63.00,0.1583
63.50,0.1547
64.00,0.1513
64.50,0.1481
65.00,0.1451
65.50,0.1422
66.00,0.1396
66.50,0.1371
67.00,0.1348
67.50,0.1327
68.00,0.1307
68.50,0.1289
69.00,0.1272
69.50,0.1257
70.00,0.1243
70.50,0.1230
71.00,0.1218
71.50,0.1208
72.00,0.1198
72.50,0.1190
73.00,0.1182
73.50,0.1175
74.00,0.1169
74.50,0.1164
75.00,0.1159
75.50,0.1155
76.00,0.1152
76.50,0.1148
77.00,0.1145
77.50,0.1143
78.00,0.1141
78.50,0.1138
79.00,0.1136
79.50,0.1135
80.00,0.1133
80.50,0.1131
81.00,0.1129
81.50,0.1127
82.00,0.1125
82.50,0.1123
83.00,0.1120
83.50,0.1118
84.00,0.1115
84.50,0.1112
85.00,0.1109
85.50,0.1105
86.00,0.1101
86.50,0.1097
87.00,0.1092
87.50,0.1087
88.00,0.1082
88.50,0.1076
89.00,0.1070
89.50,0.1063
90.00,0.1056
90.50,0.1049
91.00,0.1042
91.50,0.1034
92.00,0.1025
92.50,0.1017
93.00,0.1007
93.50,0.9981E-01
94.00,0.9884E-01
94.50,0.9784E-01
95.00,0.9680E-01
95.50,0.9574E-01
96.00,0.9465E-01
96.50,0.9354E-01
97.00,0.9240E-01
97.50,0.9124E-01
98.00,0.9005E-01
98.50,0.8885E-01
99.00,0.8763E-01
99.50,0.8639E-01
100.0,0.8514E-01
100.5,0.8387E-01
101.0,0.8260E-01
101.5,0.8131E-01
102.0,0.8002E-01
102.5,0.7872E-01
103.0,0.7742E-01
103.5,0.7611E-01
104.0,0.7480E-01
104.5,0.7350E-01
105.0,0.7219E-01
105.5,0.7089E-01
106.0,0.6960E-01
106.5,0.6831E-01
107.0,0.6703E-01
107.5,0.6575E-01
108.0,0.6449E-01
108.5,0.6325E-01
109.0,0.6201E-01
109.5,0.6079E-01
110.0,0.5959E-01
110.5,0.5840E-01
111.0,0.5723E-01
111.5,0.5608E-01
112.0,0.5495E-01
112.5,0.5385E-01
113.0,0.5276E-01
113.5,0.5170E-01
114.0,0.5065E-01
114.5,0.4964E-01
115.0,0.4864E-01
115.5,0.4768E-01
116.0,0.4673E-01
116.5,0.4582E-01
117.0,0.4493E-01
117.5,0.4406E-01
118.0,0.4323E-01
118.5,0.4242E-01
119.0,0.4163E-01
119.5,0.4088E-01
120.0,0.4015E-01
120.5,0.3945E-01
121.0,0.3878E-01
121.5,0.3813E-01
122.0,0.3752E-01
122.5,0.3693E-01
123.0,0.3636E-01
123.5,0.3583E-01
124.0,0.3532E-01
124.5,0.3483E-01
125.0,0.3438E-01
125.5,0.3394E-01
126.0,0.3354E-01
126.5,0.3316E-01
127.0,0.3280E-01
127.5,0.3247E-01
128.0,0.3217E-01
128.5,0.3189E-01
129.0,0.3163E-01
129.5,0.3139E-01
130.0,0.3118E-01
130.5,0.3099E-01
131.0,0.3082E-01
131.5,0.3067E-01
132.0,0.3055E-01
132.5,0.3044E-01
133.0,0.3035E-01
133.5,0.3028E-01
134.0,0.3023E-01
134.5,0.3020E-01
135.0,0.3019E-01
135.5,0.3019E-01
136.0,0.3021E-01
136.5,0.3024E-01
137.0,0.3029E-01
137.5,0.3036E-01
138.0,0.3044E-01
138.5,0.3053E-01
139.0,0.3064E-01
139.5,0.3076E-01
140.0,0.3089E-01
140.5,0.3103E-01
141.0,0.3119E-01
141.5,0.3135E-01
142.0,0.3152E-01
142.5,0.3171E-01
143.0,0.3190E-01
143.5,0.3211E-01
144.0,0.3232E-01
144.5,0.3253E-01
145.0,0.3276E-01
145.5,0.3299E-01
146.0,0.3323E-01
146.5,0.3347E-01
147.0,0.3372E-01
147.5,0.3398E-01
148.0,0.3424E-01
148.5,0.3450E-01
149.0,0.3477E-01
149.5,0.3504E-01
150.0,0.3531E-01
150.5,0.3558E-01
151.0,0.3586E-01
151.5,0.3614E-01
152.0,0.3642E-01
152.5,0.3670E-01
153.0,0.3699E-01
153.5,0.3727E-01
154.0,0.3755E-01
154.5,0.3783E-01
155.0,0.3812E-01
155.5,0.3840E-01
156.0,0.3868E-01
156.5,0.3896E-01
157.0,0.3923E-01
157.5,0.3951E-01
158.0,0.3978E-01
158.5,0.4005E-01
159.0,0.4032E-01
159.5,0.4058E-01
160.0,0.4084E-01
160.5,0.4110E-01
161.0,0.4135E-01
161.5,0.4160E-01
162.0,0.4184E-01
162.5,0.4209E-01
163.0,0.4232E-01
163.5,0.4255E-01
164.0,0.4278E-01
164.5,0.4300E-01
165.0,0.4322E-01
165.5,0.4343E-01
166.0,0.4363E-01
166.5,0.4383E-01
167.0,0.4402E-01
167.5,0.4421E-01
168.0,0.4439E-01
168.5,0.4456E-01
169.0,0.4473E-01
169.5,0.4489E-01
170.0,0.4505E-01
170.5,0.4519E-01
171.0,0.4533E-01
171.5,0.4547E-01
172.0,0.4559E-01
172.5,0.4571E-01
173.0,0.4582E-01
173.5,0.4593E-01
174.0,0.4603E-01
174.5,0.4611E-01
175.0,0.4620E-01
175.5,0.4627E-01
176.0,0.4634E-01
176.5,0.4640E-01
177.0,0.4645E-01
177.5,0.4649E-01
178.0,0.4653E-01
178.5,0.4655E-01
179.0,0.4657E-01
179.5,0.4658E-01
180.0,0.4659E-01
