theta,xsec
159.0,0.1045
159.5,0.1050
160.0,0.1055
160.5,0.1061
161.0,0.1066
161.5,0.1072
162.0,0.1078
162.5,0.1084
163.0,0.1090
163.5,0.1096
164.0,0.1102
164.5,0.1108
165.0,0.1114
165.5,0.1121
166.0,0.1127
166.5,0.1133
167.0,0.1140
167.5,0.1146
168.0,0.1152
168.5,0.1158
169.0,0.1164
169.5,0.1170
170.0,0.1176
170.5,0.1181
171.0,0.1187
171.5,0.1192
172.0,0.1197
172.5,0.1202
173.0,0.1206
173.5,0.1211
174.0,0.1215
174.5,0.1218
175.0,0.1222
175.5,0.1225
176.0,0.1228
176.5,0.1231
177.0,0.1233
177.5,0.1235
178.0,0.1236
178.5,0.1237
179.0,0.1238
179.5,0.1239
180.0,0.1239
