theta,xsec
0.000,5.030
0.5000,5.025
1.000,5.008
1.500,4.982
2.000,4.944
2.500,4.897
3.000,4.839
3.500,4.772
4.000,4.696
4.500,4.611
5.000,4.518
5.500,4.417
6.000,4.310
6.500,4.196
7.000,4.076
7.500,3.952
8.000,3.823
8.500,3.690
9.000,3.555
9.500,3.417
10.00,3.278
10.50,3.138
11.00,2.998
11.50,2.859
12.00,2.721
12.50,2.584
13.00,2.450
13.50,2.319
14.00,2.191
14.50,2.067
15.00,1.947
15.50,1.831
16.00,1.721
16.50,1.615
17.00,1.515
17.50,1.419
18.00,1.330
18.50,1.246
19.00,1.168
19.50,1.095
20.00,1.028
20.50,0.9668
21.00,0.9108
21.50,0.8601
22.00,0.8146
22.50,0.7740
23.00,0.7382
23.50,0.7069
24.00,0.6799
24.50,0.6570
25.00,0.6379
25.50,0.6222
26.00,0.6098
26.50,0.6004
27.00,0.5937
27.50,0.5894
28.00,0.5872
28.50,0.5869
29.00,0.5882
29.50,0.5909
30.00,0.5948
30.50,0.5995
31.00,0.6049
31.50,0.6108
32.00,0.6169
32.50,0.6232
33.00,0.6294
33.50,0.6354
34.00,0.6410
34.50,0.6461
35.00,0.6507
35.50,0.6545
36.00,0.6576
36.50,0.6599
37.00,0.6613
37.50,0.6617
38.00,0.6612
38.50,0.6597
39.00,0.6572
39.50,0.6537
40.00,0.6493
40.50,0.6438
41.00,0.6374
41.50,0.6301
42.00,0.6220
42.50,0.6130
43.00,0.6032
43.50,0.5926
44.00,0.5814
44.50,0.5696
45.00,0.5572
45.50,0.5443
46.00,0.5310
46.50,0.5173
47.00,0.5033
47.50,0.4890
48.00,0.4746
48.50,0.4600
49.00,0.4454
49.50,0.4307
50.00,0.4161
50.50,0.4016
51.00,0.3872
51.50,0.3730
52.00,0.3591
52.50,0.3454
53.00,0.3320
53.50,0.3190
54.00,0.3064
54.50,0.2941
55.00,0.2823
55.50,0.2710
56.00,0.2601
56.50,0.2497
57.00,0.2397
57.50,0.2303
58.00,0.2214
58.50,0.2130
59.00,0.2051
59.50,0.1977
60.00,0.1908
60.50,0.1844
61.00,0.1785
61.50,0.1731
62.00,0.1681
62.50,0.1636
63.00,0.1595
63.50,0.1559
64.00,0.1526
64.50,0.1497
65.00,0.1472
65.50,0.1451
66.00,0.1432
66.50,0.1417
67.00,0.1404
67.50,0.1394
68.00,0.1386
68.50,0.1381
69.00,0.1377
69.50,0.1376
70.00,0.1375
70.50,0.1377
71.00,0.1379
71.50,0.1382
72.00,0.1386
72.50,0.1391
73.00,0.1396
73.50,0.1402
74.00,0.1407
74.50,0.1413
75.00,0.1418
75.50,0.1424
76.00,0.1429
76.50,0.1433
77.00,0.1437
77.50,0.1440
78.00,0.1443
78.50,0.1444
79.00,0.1445
79.50,0.1445
80.00,0.1444
80.50,0.1443
81.00,0.1440
81.50,0.1436
82.00,0.1431
82.50,0.1425
83.00,0.1418
83.50,0.1410
84.00,0.1401
84.50,0.1391
85.00,0.1380
85.50,0.1368
86.00,0.1355
86.50,0.1341
87.00,0.1327
87.50,0.1311
88.00,0.1295
88.50,0.1279
89.00,0.1261
89.50,0.1243
90.00,0.1225
90.50,0.1206
91.00,0.1187
91.50,0.1167
92.00,0.1148
92.50,0.1127
93.00,0.1107
93.50,0.1087
94.00,0.1067
94.50,0.1046
95.00,0.1026
95.50,0.1006
96.00,0.9861E-01
96.50,0.9664E-01
97.00,0.9470E-01
97.50,0.9279E-01
98.00,0.9092E-01
98.50,0.8910E-01
99.00,0.8732E-01
99.50,0.8559E-01
100.0,0.8391E-01
100.5,0.8230E-01
101.0,0.8074E-01
101.5,0.7925E-01
102.0,0.7782E-01
102.5,0.7646E-01
103.0,0.7517E-01
103.5,0.7395E-01
104.0,0.7281E-01
104.5,0.7175E-01
105.0,0.7075E-01
105.5,0.6984E-01
106.0,0.6900E-01
106.5,0.6824E-01
107.0,0.6756E-01
107.5,0.6696E-01
108.0,0.6643E-01
108.5,0.6598E-01
109.0,0.6561E-01
109.5,0.6531E-01
110.0,0.6508E-01
110.5,0.6492E-01
111.0,0.6484E-01
111.5,0.6482E-01
112.0,0.6487E-01
112.5,0.6498E-01
113.0,0.6515E-01
113.5,0.6539E-01
114.0,0.6568E-01
114.5,0.6602E-01
115.0,0.6642E-01
115.5,0.6687E-01
116.0,0.6736E-01
116.5,0.6789E-01
117.0,0.6847E-01
117.5,0.6908E-01
118.0,0.6973E-01
118.5,0.7041E-01
119.0,0.7111E-01
119.5,0.7184E-01
120.0,0.7260E-01
120.5,0.7337E-01
121.0,0.7416E-01
121.5,0.7496E-01
122.0,0.7577E-01
122.5,0.7660E-01
123.0,0.7742E-01
123.5,0.7825E-01
124.0,0.7908E-01
124.5,0.7990E-01
125.0,0.8072E-01
125.5,0.8153E-01
126.0,0.8234E-01
126.5,0.8313E-01
127.0,0.8391E-01
127.5,0.8467E-01
128.0,0.8541E-01
128.5,0.8614E-01
129.0,0.8685E-01
129.5,0.8753E-01
130.0,0.8820E-01
130.5,0.8884E-01
131.0,0.8945E-01
131.5,0.9004E-01
132.0,0.9061E-01
132.5,0.9115E-01
133.0,0.9166E-01
133.5,0.9215E-01
134.0,0.9261E-01
134.5,0.9305E-01
135.0,0.9346E-01
135.5,0.9384E-01
136.0,0.9420E-01
136.5,0.9453E-01
137.0,0.9484E-01
137.5,0.9513E-01
138.0,0.9539E-01
138.5,0.9563E-01
139.0,0.9586E-01
139.5,0.9606E-01
140.0,0.9625E-01
140.5,0.9642E-01
141.0,0.9658E-01
141.5,0.9672E-01
142.0,0.9685E-01
142.5,0.9697E-01
143.0,0.9708E-01
143.5,0.9719E-01
144.0,0.9729E-01
144.5,0.9738E-01
145.0,0.9748E-01
145.5,0.9757E-01
146.0,0.9766E-01
146.5,0.9776E-01
147.0,0.9786E-01
147.5,0.9797E-01
148.0,0.9808E-01
148.5,0.9821E-01
149.0,0.9834E-01
149.5,0.9848E-01
150.0,0.9864E-01
150.5,0.9881E-01
151.0,0.9900E-01
151.5,0.9920E-01
152.0,0.9941E-01
152.5,0.9965E-01
153.0,0.9990E-01
153.5,0.1002
154.0,0.1005
154.5,0.1008
155.0,0.1011
155.5,0.1015
156.0,0.1018
156.5,0.1022
157.0,0.1026
157.5,0.1031
158.0,0.1035
158.5,0.1040
